Model,Brand,Product Category,Description,Dealer Ex GST, RRP Inc. GST 
AS-10ST-B,Atlas IED,Speakers - Sourface Mount,"10"" AS Series Subwoofer.200W, 100W, 50W 100V & Low Z operation 300w @ 4 Ohms. 93dB@ 1m, 43z-600Hz, +/- 3dB. Black. 
Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Ultra-low insertion loss 200W transformer for dynamic performance in distributed systems
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each.",1676.35,"2,754.00"
AS-10ST-W,Atlas IED,Speakers - Sourface Mount,"10"" AS Series Subwoofer.200W, 100W, 50W 100V & Low Z operation 300w @ 4 Ohms. 93dB@ 1m, 43z-600Hz, +/- 3dB. White.
Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Ultra-low insertion loss 200W transformer for dynamic performance in distributed systems
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each.",1676.35,"2,754.00"
AS-10T-B,Atlas IED,Speakers - Sourface Mount,"10"" + 25 mm (1 in) Exit Compression Driver AS Series Surface Mount, Passive, 124W, 64W, 32W, 16W 100V & Low Z operation 240w @ 8 Ohms.100°H x 90°V, 93dB@ 1m, 58z-18kHz, +/- 3dB. Black. Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 124W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each.",1676.35,"2,754.00"
AS-10T-W,Atlas IED,Speakers - Sourface Mount,"10"" + 25 mm (1 in) Exit Compression Driver AS Series Surface Mount, Passive, 124W, 64W, 32W, 16W 100V & Low Z operation 240w @ 8 Ohms.100°H x 90°V, 93dB@ 1m, 58z-18kHz, +/- 3dB. White. Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 124W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each.",1676.35,"2,754.00"
AS-4T-B,Atlas IED,Speakers - Surface Mount,"4"" AS Series Surface Mount, Passive, 16W, 8W, 4W 100V ( 1.9W 70V) & Low Z operation 40w @ 8Ohms.140° x 140°, 86dB@ 1m, 107Hz-20kHz, +/- 3dB. Black                                                             Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 16W transformer for dynamic performance in 
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",417.57,686
AS-4T-W,Atlas IED,Speakers - Surface Mount,"4"" AS Series Surface Mount, Passive, 16W, 8W, 4W 100V ( 1.9W 70V) & Low Z operation 40w @ 8Ohms.140° x 140°, 86dB@ 1m, 107Hz-20kHz, +/- 3dB. White                                                           Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 16W transformer for dynamic performance in 
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",417.57,686
AS-5T-B,Atlas IED,Speakers - Surface Mount,"5.25"" AS Series Surface Mount, Passive, 32W, 16W, 8W,4W 100V & Low Z operation 100w @ 8Ohms.120° x 120°, 87dB@ 1m, 95z-20kHz, +/- 3dB. Black 
Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 32W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",468.7,770
AS-5T-W,Atlas IED,Speakers - Surface Mount,"5.25"" AS Series Surface Mount, Passive, 32W, 16W, 8W,4W 100V & Low Z operation 100w @ 8Ohms.120° x 120°, 87dB@ 1m, 95z-20kHz, +/- 3dB. White 
Cean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 32W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",468.7,770
AS-6T-B,Atlas IED,Speakers - Sourface Mount,"6.5"" AS Series Surface Mount, Passive, 64W, 32W, 16W, 8W 100V & Low Z operation 150w @ 8 Ohms.110°H x 90°V, 88dB@ 1m, 74z-20kHz, +/- 3dB. Black                                                                                                                             Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 64W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",607.48,998
AS-6T-W,Atlas IED,Speakers - Sourface Mount,"6.5"" AS Series Surface Mount, Passive, 64W, 32W, 16W, 8W 100V & Low Z operation 150w @ 8 Ohms.110°H x 90°V, 88dB@ 1m, 74z-20kHz, +/- 3dB. White                                                                                                                                        Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 64W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform. Priced each, Shipped as pairs.",607.48,998
AS-8T-B,Atlas IED,Speakers - Sourface Mount,"8"" + 25 mm (1 in) Exit Compression Driver AS Series Surface Mount, Passive, 64W, 32W, 16W, 8W 100V & Low Z operation 180w @ 8 Ohms.110°H x 90°V, 90dB@ 1m, 70z-20kHz, +/- 3dB. Black. Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 64W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform.  Priced each.",988.52,"1,624.00"
AS-8T-W,Atlas IED,Speakers - Sourface Mount,"8"" + 25 mm (1 in) Exit Compression Driver AS Series Surface Mount, Passive, 64W, 32W, 16W, 8W 100V & Low Z operation 180w @ 8 Ohms.110°H x 90°V, 90dB@ 1m, 70z-20kHz, +/- 3dB. White. Clean industrial design for sensitive architectural constraints
Effective coverage for systems with space limitations
Extremely consistent horizontal off axis performance
Ultra-low insertion loss 64W transformer for dynamic performance
High impact ABS enclosure with UV inhibitor
IP55 & UL1480A rated
Slip-Free yoke mount supplied. Optional pan and tilt bracket.
Compatible with VESA™ mounts
Advanced tunings available via AtlasIED Atmosphere DSP platform.  Priced each.",988.52,"1,624.00"
ASP-MG2240,Atlas IED,Sound Masking,AOR Amplified Sound Masking System with Onboard DSP,1955.74,"3,213.00"
ASP-MG2240S,Atlas IED,Sound Masking,AOR Enhanced Privacy LED Sign,123.57,203
ASP-MG24,Atlas IED,Sound Masking,AOR Sound Masking Processor / Speaker Controller,3345.39,"5,496.00"
ASP-MG24TDB,Atlas IED,Sound Masking,AOR Sound Masking Processor / Speaker Controller with Scheduler Card,5222.61,"8,580.00"
AS-U-B,Atlas IED,Speakers - Sourface Mount,AtlasIED AS Series Universal Surface Mount Brack. Suits AS-4T and AS-5T speaker cabinents. Black,130.87,215
AS-UL-B,Atlas IED,Speakers - Sourface Mount,AtlasIED AS Series Large Universal Surface Mount Brack. Suits AS-6T and AS-8T speaker cabinents. Black,149.13,245
AS-UL-W,Atlas IED,Speakers - Sourface Mount,AtlasIED AS Series Large Universal Surface Mount Brack. Suits AS-6T and AS-8T speaker cabinents. White,149.13,245
AS-U-W,Atlas IED,Speakers - Sourface Mount,AtlasIED AS Series Universal Surface Mount Brack. Suits AS-4T and AS-5T speaker cabinents. White,130.87,215
ATMASKSC,Atlas IED,Sound Masking,AOR Sound Masking & Commissioning Precision Level Control,78.52,129
A-XLR-US,Atlas IED,DSP,"The Atmosphere A-XLR is a remote XLR audio input to an Atmosphere AZM audio processor. This expansion acts identically to the on-board mic/line inputs. The AZM will automatically detect the A-XLR and dynamically assign appropriate audio settings, such as dynamics, EQ, auto gain control, and phantom power, to that input .  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",375.57,617
A-XLR-US-B,Atlas IED,DSP,"The Atmosphere A-XLR-B is a remote XLR audio input to an Atmosphere AZM audio processor. This expansion acts identically to the on-board mic/line inputs. The AZM will automatically detect the A-XLR and dynamically assign appropriate audio settings, such as dynamics, EQ, auto gain control, and phantom power, to that input .  Each Atmosphere accessory is a plug-and-play, intelligent device, specifically designed to be approachable and intuitive. The Atmosphere accessory bus allows for up to 8 devices to be connected to a single accessory port, reliably sending audio and data over 1000ft per port. Up to 1x audio input accessory can be added to each accessory port.",375.57,617
AZA404,Atlas IED,DSP,"The AtlasIED Atmosphere AZA404 four-channel amplifier is designed to interface with the Atmosphere family of products, such as the AZM series of processors. The AZA amplifiers can be configured in pairs to deliver up to 100W per channel into both low (4&8 Ohms) and high impedance (70V &100V) speaker loads. Configurations: 4 x 100-Watts @ 70.7V, 4 x 100-Watts @ 100V, 4 x 75-Watts @ 8?, 4 x 50-Watts @ 4?, 2 x 100-Watts @ 70.7V, 2 x 75-Watts @ 8?, 2 x 100-Watts @ 100V, 2 x 50-Watts @ 4?.",3172.52,"5,212.00"
AZA804,Atlas IED,DSP,"The AtlasIED Atmosphere AZA804 four-channel amplifier is designed to interface with the Atmosphere family of products, such as the AZM series of processors. The AZA amplifiers can be configured in pairs to deliver up to 100W per channel into both low (4&8 Ohms) and high impedance (70V &100V) speaker loads. Configurations: 4 x 200-Watts @ 70.7V, 4 x 200-Watts @ 100V, 4 x 150-Watts @ 8?, 4 x 100-Watts @ 4?, 2 x 200-Watts @ 70.7V, 2 x 150-Watts @ 8?, 2 x 200-Watts @ 100V, 2 x 100-Watts @ 4?.",3903.57,"6,413.00"
AZM4,Atlas IED,DSP,"The Atmosphere AZM4 is a 4-zone audio processor and the heart of an Atmosphere audio control system.  Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces.  A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZM a processing powerhouse for automated audio system control.  The AZM4 is compatible with all six of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 2 accessory ports on the AZM4.  Additionally, a zone paging station can be added as an accessory.  Each port is designed to work reliably up to 1000ft.  Programming is made simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom.  In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZM4.  Control modules available for RTI, Crestron, Extron, and AMX.",2157.83,"3,545.00"
AZM4-D,Atlas IED,DSP,"The Atmosphere AZM4-D is a 4-zone audio processor and the heart of an Atmosphere audio control system. Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces. Dante networked audio provides convenient audio distribution to other Dante-enabled devices. A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZM4 a processing powerhouse.  The AZM4-D is compatible with all seven of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 2 accessory ports on the AZM4-D. Additionally, a zone paging station can be added as an accessory. Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom. In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZM4-D.  Control modules available for RTI, Crestron, Extron, and AMX.",3189.57,"5,240.00"
AZM8,Atlas IED,DSP,"The Atmosphere AZM8 is an 8-zone audio processor and the heart of an Atmosphere audio control system.  Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces.  A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter&trade;, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZM a processing powerhouse.  The AZM8 is compatible with all six of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 4 accessory ports on the AZM8.  Additionally, a zone paging station can be added as an accessory.  Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases.  Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom.  In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZM8.  Control modules available for RTI, Crestron, Extron, and AMX.",3190.78,"5,242.00"
AZM8-D,Atlas IED,DSP,"The Atmosphere AZM8-D is an 8-zone audio processor and the heart of an Atmosphere audio control system. Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces. Dante networked audio provides convenient audio distribution to other Dante-enabled devices. A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZM8 a processing powerhouse.?  The AZM8-D is compatible with all seven of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 4 accessory ports on the AZM8-D. Additionally, a zone paging station can be added as an accessory. Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom. In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZM8-D. Control modules available for RTI, Crestron, Extron, and AMX.",4709.48,"7,737.00"
AZMP4,Atlas IED,DSP,"The Atmosphere AZMP4 is a powered (600 Watt) 4-zone audio processor and the heart of an Atmosphere audio control system.  Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces.  A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZMP a processing powerhouse for automated audio system control.  The AZMP4 utilizes amplifier power sharing technology that allows for efficient use of available power and avoiding system overdesign due to traditional amplifier power ratings. The AZMP4 can produce 600W of total power, with each output channel being software assignable anywhere between 5-600W  The AZMP4 is compatible with all six of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 2 accessory ports on the AZMP4.  Additionally, a zone paging station can be added as an accessory.  Each port is designed to work reliably up to 1000ft.  Programming is made simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom.  In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZMP4.  Control modules available for RTI, Crestron, Extron, and AMX.",4937.74,"8,112.00"
AZMP4-D,Atlas IED,DSP,"The Atmosphere AZMP4-D is a powered (600 Watt) 4-zone audio processor and the heart of an Atmosphere audio control system. Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces. Dante networked audio provides convenient audio distribution to other Dante-enabled devices. A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZMP a processing powerhouse.  The AZMP4-D utilizes amplifier power sharing technology that allows for efficient use of available power and avoiding system overdesign due to traditional amplifier power ratings. The AZMP8 can produce 600W of total power, with each output channel being software assignable anywhere between 5-600W. The AZMP4-D is compatible with all seven of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 2 accessory ports on the AZMP4-D. Additionally, a zone paging station can be added as an accessory. Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom. In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZMP4-D.  Control modules available for RTI, Crestron, Extron, and AMX.",5696.78,"9,359.00"
AZMP8,Atlas IED,DSP,"The Atmosphere AZMP8 is a powered (1200 Watt) 8-zone audio processor and the heart of an Atmosphere audio control system.  Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces.  A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZMP a processing powerhouse.  The AZMP8 utilizes amplifier power sharing technology that allows for efficient use of available power and avoiding system overdesign due to traditional amplifier power ratings. The AZMP8 can produce 1200W of total power, with each output channel being software assignable anywhere between 5-600W.  The AZMP8 is compatible with all six of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 4 accessory ports on the AZMP8.  Additionally, a zone paging station can be added as an accessory.  Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases.  Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom.  In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZMP8.  Control modules available for RTI, Crestron, Extron, and AMX.",7975.74,"13,103.00"
AZMP8-D,Atlas IED,DSP,"The Atmosphere AZMP8-D is a powered (1200 Watt) 8-zone audio processor and the heart of an Atmosphere audio control system. Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces. Dante networked audio provides convenient audio distribution to other Dante-enabled devices. A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZMP a processing powerhouse. The AZMP8-D utilizes amplifier power sharing technology that allows for efficient use of available power and avoiding system overdesign due to traditional amplifier power ratings. The AZMP8 can produce 1200W of total power, with each output channel being software assignable anywhere between 5-600W. The AZMP8-D is compatible with all seven of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 4 accessory ports on the AZMP8-D. Additionally, a zone paging station can be added as an accessory. Each port is designed to work reliably up to 1000ft.  Programming is simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom. In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZMP8-D.  Control modules available for RTI, Crestron, Extron, and AMX.",9190.09,"15,098.00"
AZMP8-DW,Atlas IED,DSP,"AOR The Atmosphere AZMP8-DW is a powered (1200 Watt) 8-zone audio processor and the heart of an Atmosphere audio control system. Powerful DSP combined with innovative algorithms offer custom solutions for a wide variety of spaces. Dante networked audio provides convenient audio distribution to other Dante-enabled devices. A built-in message player, virtual wall controllers, learning ambient noise sensing, Tilter Filter, auto-gain, GPIO, bell scheduler, room combine, and many more features, make the AZMP a processing powerhouse. A unique on-wall form factor allows the AZMP8-DW to be conveniently mounted on a wall and replaces the need for a traditional equipment rack. The integrated locking cabinet is provided with room for peripheral devices such as network switch or music streamer. The AZMP8-DW utilizes amplifier power sharing technology that allows for efficient use of available power and avoiding system overdesign due to traditional amplifier power ratings. The AZMP8 can produce 1200W of total power, with each output channel being software assignable anywhere between 5-600W.  The AZMP8-DW is compatible with all seven of the Atmosphere wall plate accessories for control, remote audio input, and ambient noise sensing. Up to 16 of these plug-and-play Accessories can be connected across 4 accessory ports on the AZMP8-DW. Additionally, a zone paging station can be added as an accessory. Each port is designed to work reliably up to 1000ft. Programming is simple through a modern on-board web interface, optimized around common use-cases. Built around Progressive Web App technology, the control interface is device agnostic, responsive, and meticulously designed for an ideal user experience without sacrificing design freedom. In addition to Ethernet, built-in Wi-Fi allows for tablets and other controlling devices to connect directly to the AZMP8-DW. Control modules available for RTI, Crestron, Extron, and AMX.",12335.83,"20,266.00"
BB-1616,Atlas IED,DSP,"BlueBridge 16 Input x 16 Output - Networkable DSP Device                                                                        Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",11853.13,"19,473.00"
BB-1616DT,Atlas IED,DSP,"BlueBridge 16 Input x 16 Output - Networkable DSP Device with Dante™                                                                               Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",13469.83,"22,129.00"
BB-168,Atlas IED,DSP,"BlueBridge 16 Input x 8 Output - Networkable DSP Device                                                                        Open Architecture
iOS and Android App Control
Mic or Line Selectable Inputs
Balanced High Gain Outputs
Signal Indicator LEDs
Ultra Low Noise Floor
High Quality Mic Preamp (THAT® Corp)
Ethernet Network Connectivity
24dB Converters
48kHz, 40 Bit Floating DSP Engine",10641.22,"17,482.00"
